美团酒店卖家信息真实度检测,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
面向神经退行性疾病的药物发现,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于VisualStudioToolsforAI的TensorFlow的网络安全攻防系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
异构海洋信息数据分析处理方法研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
TCP-BBR拥塞控制算法在异构网络下的模拟和实验,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于ONOS的智能网络虚拟资源分配组件实现,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于ONOS的网络大数据收集与处理系统实现,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
水下机器人实践教学平台的研究与设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
面向水下机器人的双目目标测距方法,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
智能螃蟹的研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
水下目标抓取机器人的路径规划,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
新型半导体微纳光电子器件的研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于大数据技术的信息传输优化与语音识别,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
SmartVLC智能水下光通信系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于强化对抗生成网络的线稿及视频上色,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于深度学习的双目深度估计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于深度估计的水下三维目标识别,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
声纹识别下的语音识别系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于SLAM的室内无线信号地图构建,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于AOA的高鲁棒性室内定位系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于位置的多APWi-Fi安全接入控制系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
12位SAR-ADC芯片的设计与仿真,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于FPGA的机器人竞赛平台开发,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
过渡金属改性钴锰尖晶石及其催化氨性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
用于肿瘤PET成像诊断的18F示踪剂碘叶立德前体的合成方法研究,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,2
"二氢-1,3-恶嗪衍生物的绿色合成",创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于低场核磁的中药材肉豆蔻的质量分析,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
新型半导体微纳光电子器件的研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于大数据技术的信息传输优化与语音识别,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
SmartVLC智能水下光通信系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于强化对抗生成网络的线稿及视频上色,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于深度学习的双目深度估计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于深度估计的水下三维目标识别,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
声纹识别下的语音识别系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于SLAM的室内无线信号地图构建,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于AOA的高鲁棒性室内定位系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于位置的多APWi-Fi安全接入控制系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
12位SAR-ADC芯片的设计与仿真,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于FPGA的机器人竞赛平台开发,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
跨技术通信系统的设计及实现,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
双酚酸的合成研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
光催化合成磷氮烯类化合物,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
智能感应交互建筑装置,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于辽南皮影的数字产品界面开发,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,2
基于系统耦合的大连商业街区活力研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
南满铁路奉大段城市形态现状调查与评价,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,1
趣味产品设计,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
基于姓氏迁移的宗祠建筑研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于虚拟现实技术的城市空间认知研究,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,2
基于轨道交通发展的居民日常生活圈研究,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,2
《陶瓷釉彩绘画的新抽象表现创新研究与实践》,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
叙事空间视角下的博物馆室内设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
当代审美体系下陶瓷与玻璃工艺研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
地铁出行模式下的城市时空可达性研究,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
南航旅游文创衍生品开发研究,创新训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
东北邮驿文化旅游文化产品开发,创业训练项目,大连理工大学,艺术学,艺术学,2019/5/31,10000,3
基于深度学习的裁判文书分析,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于强化对抗生成网络的线稿及视频上色,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于深度学习的双目深度估计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于深度估计的水下三维目标识别,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
声纹识别下的语音识别系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于SLAM的室内无线信号地图构建,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于AOA的高鲁棒性室内定位系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
基于位置的多APWi-Fi安全接入控制系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
12位SAR-ADC芯片的设计与仿真,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
细胞内硫化氢的可视化研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
